Month,StTime,FinTime,Consumption
11,630,644,0.03
11,645,659,0.03
11,660,674,0.03
11,675,689,0.03
11,690,704,0.03
11,705,719,0.03
11,720,734,0.11
11,735,749,0.11
11,750,764,0.11
11,765,779,0.11
11,780,794,0.27
11,795,809,0.27
11,810,824,0.27
11,825,839,0.27
11,840,854,0.04
11,855,869,0.04
11,870,884,0.04
11,885,899,0.04
11,900,914,0.06
11,915,929,0.06
11,930,944,0.06
11,945,959,0.06
11,960,974,0.02
11,975,989,0.02
11,990,1004,0.02
11,1005,1019,0.02
11,1020,1034,0.03
11,1035,1049,0.03
11,1050,1064,0.03
11,1065,1079,0.03
11,1080,1094,0.15
11,1095,1109,0.15
11,1110,1124,0.15
11,1125,1139,0.15
11,1140,1154,0.32
11,1155,1169,0.32
11,1170,1184,0.32
11,1185,1199,0.32
11,1200,1214,0.34
11,1215,1229,0.34
11,1230,1244,0.34
11,1245,1259,0.34
11,1260,1274,0.36
11,1275,1289,0.36
11,1290,1304,0.36
11,1305,1319,0.36
11,1320,1334,0.07
11,1335,1349,0.07
11,1350,1364,0.07
11,1365,1379,0.07
11,1380,1394,0.05
11,1395,1409,0.05
11,1410,1424,0.05
11,1425,1439,0.05
11,0,14,0.07
11,15,29,0.07
11,30,44,0.07
11,45,59,0.07
11,60,74,0.02
11,75,89,0.02
11,90,104,0.02
11,105,119,0.02
11,120,134,0.02
11,135,149,0.02
11,150,164,0.02
11,165,179,0.02
11,180,194,0.02
11,195,209,0.02
11,210,224,0.02
11,225,239,0.02
11,240,254,0.04
11,255,269,0.04
11,270,284,0.04
11,285,299,0.04
11,300,314,0.01
11,315,329,0.01
11,330,344,0.01
11,345,359,0.01
11,360,374,0.22
11,375,389,0.22
11,390,404,0.22
11,405,419,0.22
11,420,434,0.35
11,435,449,0.35
11,450,464,0.35
11,465,479,0.35
11,480,494,0.22
11,495,509,0.22
11,510,524,0.22
11,525,539,0.22
11,540,554,0.14
11,555,569,0.14
11,570,584,0.14
11,585,599,0.14
11,600,614,0.04
11,615,629,0.04
11,630,644,0.04
11,645,659,0.04
11,660,674,0.05
11,675,689,0.05
11,690,704,0.05
11,705,719,0.05
11,720,734,0.04
11,735,749,0.04
11,750,764,0.04
11,765,779,0.04
11,780,794,0.03
11,795,809,0.03
11,810,824,0.03
11,825,839,0.03
11,840,854,0.07
11,855,869,0.07
11,870,884,0.07
11,885,899,0.07
11,900,914,0.03
11,915,929,0.03
11,930,944,0.03
11,945,959,0.03
11,960,974,0.04
11,975,989,0.04
11,990,1004,0.04
11,1005,1019,0.04
11,1020,1034,0.13
11,1035,1049,0.13
11,1050,1064,0.13
11,1065,1079,0.13
11,1080,1094,0.22
11,1095,1109,0.22
11,1110,1124,0.22
11,1125,1139,0.22
11,1140,1154,0.21
11,1155,1169,0.21
11,1170,1184,0.21
11,1185,1199,0.21
11,1200,1214,0.58
11,1215,1229,0.58
11,1230,1244,0.58
11,1245,1259,0.58
11,1260,1274,0.89
11,1275,1289,0.89
11,1290,1304,0.89
11,1305,1319,0.89
11,1320,1334,0.06
11,1335,1349,0.06
11,1350,1364,0.06
11,1365,1379,0.06
11,1380,1394,0.04
11,1395,1409,0.04
11,1410,1424,0.04
11,1425,1439,0.04
11,0,14,0.04
11,15,29,0.04
11,30,44,0.04
11,45,59,0.04
11,60,74,0.04
11,75,89,0.04
11,90,104,0.04
11,105,119,0.04
11,120,134,0.04
11,135,149,0.04
11,150,164,0.04
11,165,179,0.04
11,180,194,0.03
11,195,209,0.03
11,210,224,0.03
11,225,239,0.03
11,240,254,0.04
11,255,269,0.04
11,270,284,0.04
11,285,299,0.04
11,300,314,0.04
11,315,329,0.04
11,330,344,0.04
11,345,359,0.04
11,360,374,0.04
11,375,389,0.04
11,390,404,0.04
11,405,419,0.04
11,420,434,0.11
11,435,449,0.11
11,450,464,0.11
11,465,479,0.11
11,480,494,0.17
11,495,509,0.17
11,510,524,0.17
11,525,539,0.17
11,540,554,0.1
11,555,569,0.1
11,570,584,0.1
11,585,599,0.1
11,600,614,0.02
11,615,629,0.02
11,630,644,0.02
11,645,659,0.02
11,660,674,0.03
11,675,689,0.03
11,690,704,0.03
11,705,719,0.03
11,720,734,0.03
11,735,749,0.03
11,750,764,0.03
11,765,779,0.03
11,780,794,0.02
11,795,809,0.02
11,810,824,0.02
11,825,839,0.02
11,840,854,0.02
11,855,869,0.02
11,870,884,0.02
11,885,899,0.02
11,900,914,0.07
11,915,929,0.07
11,930,944,0.07
11,945,959,0.07
11,960,974,0.03
